"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","collectCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/710cc948d9e96dc0a2cc570179a634ff~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=b59c183e&x-expires=1764057600&x-signature=%2BNCvTDwsVT%2BpM6SaS7BOAEAZ5aY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","sahamtalk","Yang bikin mahal tuh biaya rapat & studi bandingnya bukan sih? 🙄","4113","427","473500","715","514","15","Stellar Phonk","MLB_Beats","false","2025-02-12T05:36:26.000Z","https://www.tiktok.com/@sahamtalk/video/7470402324326911239"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c63182e23d26b8e1c87528148c3246f1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fdfb68c2&x-expires=1764057600&x-signature=NmWbFykxto5%2BKprLqrSVDHZ96cY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","rillychannel","Cara aktivasi CORETAX Pajak secara online 

Copyright ©2025, Rillychannel
#trending #news  #tutorial #pajak #coretax #djp #djponline #npwponline #npwp ","1605","906","124600","206","1357","376","suara asli - Rilly Channel","Rilly Channel","true","2025-01-09T10:59:09.000Z","https://www.tiktok.com/@rillychannel/video/7457868574699359493"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7336315172871094273~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=8c17d7af&x-expires=1764057600&x-signature=lQinbiop6Z7dmdBdjcYInzw2F3Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","nathanianeysabell","Perbedaan sebelum dan sesudah mengenal dia (CORETAX) #coretax #coretaxsystem #coretax2025 #coretaxdjp ","978","413","74400","94","119","11","i need cough drops plz",,"true","2025-02-15T14:59:40.000Z","https://www.tiktok.com/@nathanianeysabell/video/7471660726017330440"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91035c6bc1b9671f8b392fff4f772d0a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=240c37a2&x-expires=1764057600&x-signature=UdbawhOOfC57I245C3N6U0G2vc4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","daniel.belianto","Taukah Anda ❓ Cara isi Harta di SPT Tahunan Pribadi era Coretax, Berubah Total ❗️

HATI-HATI ❗️ Jangan sampai salah isi ❗️❗️

#pajak #tax #coretax #laporpajak #spt ","1048","835","58800","77","802","71","original sound - daniel.belianto","daniel.belianto","true","2025-11-19T23:23:55.000Z","https://www.tiktok.com/@daniel.belianto/video/7574581245762407687"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91035c6bc1b9671f8b392fff4f772d0a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=240c37a2&x-expires=1764057600&x-signature=UdbawhOOfC57I245C3N6U0G2vc4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","daniel.belianto","Anda yang punya SAHAM, ORI, KRIPTO, ASURANSI, dan aset investasi lainnya…. ❓ 

HATI2 bahwa pengisian dalam SPT Tahunan Berubah Total …. 

Jangan keliru isi karena dapat berakibat terhadap pajak atas penjualan aset atau penetapan keuntungan / CAPITAL GAIN dimasa mendatang….

#pajak #tax #coretax #pajakpribadi #laporpajak ","442","566","38100","63","383","64","original sound - daniel.belianto","daniel.belianto","true","2025-11-21T09:12:07.000Z","https://www.tiktok.com/@daniel.belianto/video/7575103924827344146"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7333261156263395348~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=cfc32dd5&x-expires=1764057600&x-signature=2ySpm6faKjBr1wlXsShkJ9lg96w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","bats_official","""Codingan Selevel SMA"" 
Pernyataan Menkeu Purbaya Yudhi Sadewa soal coretax system Dirjen Pajak ini mengejutkan banyak pihak. Tapi, apa maksudnya? dan Kenapa Ini Berbahaya untuk Data Pajak Anda?

Jangan salah paham, ini bukan menghina lulusan SMA. Tapi ini adalah istilah untuk masalah yang SANGAT SERIUS terkait keamanan data pajak Anda. 
Simak penjelasan lengkapnya, di video ini!

#Coretax #Pajak #Kemenkeu #DirjenPajak #Coding #KeamananData #DataPribadi #ITPemerintah #TransformasiDigital","460","23","35200","39","40","229","suara asli - BATS Official","BATS Official","true","2025-10-29T06:56:59.000Z","https://www.tiktok.com/@bats_official/video/7566534142662331656"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3585d42188d1ce1dc515cf7719d9b634~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=9f8973b4&x-expires=1764057600&x-signature=lF2gdfuSumDAyE1G3batu9sXvAE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","andersonnsteven","APLIKASI CORETAX DI INDONESIA HABISKAN 1.3 TRILIUN TAPI MASIH NGELAG DAN ERROR ??? KIRA KIRA DIPAKAI UNTUK APA YA UANGNYA ?
.
.
.
#coretax #pajak
#cryptocurrency #pajakkitauntukkita 
#crypto #foryoupage #fyp #bitcoin #bitcoinetf #belajarinvestasi #investasicrypto #blockchain #timothyronald #akademicrypto #bitcoinhalving #halving #airdrop #pemulung #airdrops
#airdropcrypto #hyperliquid #hyper #hype ","2866","131","126500","136","261","89","original sound - Steven A | Cryptopreneur 🚀💰","Steven A | Cryptopreneur 🚀💰","true","2025-02-12T13:09:40.000Z","https://www.tiktok.com/@andersonnsteven/video/7470519120887336197"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91035c6bc1b9671f8b392fff4f772d0a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=240c37a2&x-expires=1764057600&x-signature=UdbawhOOfC57I245C3N6U0G2vc4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","daniel.belianto","Bye bye ke NIK SEMENTARA utk NIK tidak valid di CORETAX ❗️❗️

#pajak #tax #coretax #nik #npwp","1730","620","74400","45","1114","63","original sound - daniel.belianto","daniel.belianto","true","2025-11-19T08:28:12.000Z","https://www.tiktok.com/@daniel.belianto/video/7574350436069674247"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/7346622193037967392~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=bb6f8ea8&x-expires=1764057600&x-signature=cUWxaR0YeBGC43V4xWPGfL7V71g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","semenit.idn","Aplikasi Coretax senilai Rp1,3 triliun mengalami berbagai masalah teknis, seperti kesulitan login dan error dalam sistem, yang menunjukkan bahwa aplikasi tersebut belum sepenuhnya siap digunakan. 

Di tengah permasalahan tersebut, kekayaan Direktur Jenderal Pajak, Suryo Utomo, dilaporkan meningkat hampir 300 persen dalam enam tahun, dari Rp6,2 miliar pada 2016 menjadi Rp18,3 miliar pada 2022.

Namun, hingga kini, belum ada pembaruan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) tahun 2023, padahal batas akhir pelaporan ditetapkan pada 31 Maret 2024. 

Kenaikan kekayaan yang signifikan ini menimbulkan pertanyaan, terutama karena tidak sejalan dengan pendapatan resmi seorang Dirjen Pajak. Berdasarkan Perpres Nomor 37 Tahun 2015, tunjangan kinerja Dirjen Pajak mencapai Rp117,3 juta per bulan atau sekitar Rp1,4 miliar per tahun. 

Jika dihitung menggunakan teori pengelolaan keuangan 50/30/20 yang diperkenalkan Elizabeth Warren, kenaikan harta kekayaan yang wajar dari pendapatan tersebut seharusnya berkisar Rp280 juta per tahun. 

Namun, kenaikan harta Suryo Utomo jauh di atas angka tersebut, memunculkan berbagai pertanyaan mengenai sumber pendapatannya. 

Gimana Menurutmu..? Full Episode Sudah Tayang di Youtube @gakbakaljoget 

#tretanmuslim #coretax #coretaxsystem #longervideos #semenitidn #bekahsentosa","66800","7361","1100000","1786","4675","66","suara asli - Semenit.idn","Semenit.idn","true","2025-02-11T01:50:02.000Z","https://www.tiktok.com/@semenit.idn/video/7469972689793387777"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/aae813138d5e04a576aeeea30f377565~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=ae92157f&x-expires=1764057600&x-signature=uczA15ZtcJyys6Mo0dtBtQ7bQWc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","solusipajakmu","Terpantau coretax hari ini lagi eror. Baru aja login, tibatiba keluar sendiri, ada yg sama ga nih? 🫵🙄
#coretax #fyp #viralvideo #4yu #budakcorporate ","136","22","17900","140","18","12","오리지널 사운드 - 나이스 뮤직 투데이","nmtmag.","true","2025-09-04T08:28:15.000Z","https://www.tiktok.com/@solusipajakmu/video/7546147976838647048"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/7346622193037967392~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=bb6f8ea8&x-expires=1764057600&x-signature=cUWxaR0YeBGC43V4xWPGfL7V71g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","semenit.idn","Stok sabar anak finance masih aman? 😇

Belakangan ini, banyak keluhan terkait implementasi sistem Coretax yang dianggap belum berjalan lancar.

Ketua Dewan Ekonomi Nasional (DEN), Luhut Binsar Pandjaitan, mengingatkan kita untuk tidak buru-buru mengkritik. 

Menurut Pak Luhut, wajar jika ada beberapa kendala di awal penerapan sistem ini, seperti kesulitan dalam penerbitan faktur pajak dan tingginya volume akses yang terjadi bersamaan. Hal ini menunjukkan bahwa sistem baru memerlukan waktu untuk berjalan dengan optimal.

Pak Luhut meminta kita untuk memberikan kesempatan bagi Coretax untuk berkembang. Dia yakin bahwa dengan waktu, sistem ini akan mampu meningkatkan kepatuhan wajib pajak, memperbaiki efisiensi administrasi perpajakan, dan pada akhirnya mendongkrak penerimaan negara. 

Diharapkan Digitalisasi seperti ini akan menjadi langkah besar menuju efisiensi dan efektivitas di lingkup pemerintahan.

Apa pendapat kalian soal sistem Coretax ini? Share di kolom komentar ya! 👇

#coretax #digitalisasipajak #efisiensipemerintahan #luhutbinsarpandjaitan #longervideos #semenitidn #bekahsentosa","846","38","69400","295","77","64","suara asli - Semenit.idn","Semenit.idn","true","2025-02-17T13:32:36.000Z","https://www.tiktok.com/@semenit.idn/video/7472380461445025042"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d2a2dbfab0d8a7e48d6e003e81ca2968~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=403b8e8f&x-expires=1764057600&x-signature=cHsnouZHKGXRSI4hERBD%2B1gX%2BFk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","inilahcom","Menteri Keuangan Purbaya Yudhi Sadewa berjanji akan membenahi sistem perpajakan Coretax dalam waktu sebulan. Ia mengatakan akan melibatkan tenaga ahli teknologi informasi (IT) dari luar Direktorat Jenderal Pajak (DJP) untuk mempercepat perbaikan.

""Saya akan lihat Coretax seperti apa, keterlambatan di Coretax, akan kita perbaiki secepatnya. Dalam satu bulan harusnya bisa. Itu IT, nanti saya bawa jago-jago IT dari luar yang bisa memperbaiki itu dengan cepat,"" ujar Purbaya saat konferensi pers APBN KiTa di Kementerian Keuangan, Jakarta, Senin (22/9/2025).

Menambahkan, Direktur Jenderal Pajak Bimo Wijayanto mengakui adanya downtime pada sistem Coretax. Menurutnya, hal itu bagian dari pemeliharaan yang memang sudah dijadwalkan.

""Kami sekarang dalam tahap stabilisasi dan perbaikan bertahap untuk jangka panjang lebih andal dan di Desember 2025 bisa smooth kita harap,"" ucap Bimo.
-
Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#InilahNews #MenkeuPurbaya #MenteriKeuangan #Coretax #DirjenPajak    ","288800","7928","8800000","6348","12200","26","original sound - Inilah.com","Inilah.com","true","2025-09-23T05:15:15.000Z","https://www.tiktok.com/@inilahcom/video/7553148850358209799"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e57475129b24e47a0bb8286685f85ca7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=5bef0856&x-expires=1764057600&x-signature=zF28s8rpucHl5GlRgKM75YEE%2F8w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","aisyahnrv","Cara login coretax✨ #aktivasicoretax #coretax #pajak #coretaxsystem #renjani2025 #ditjenpajakri @Direktorat Jenderal Pajak ","888","586","75200","362","846","376","sonido original","SONIDOS LARGOS","true","2025-02-16T13:52:28.000Z","https://www.tiktok.com/@aisyahnrv/video/7472014473344126214"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91035c6bc1b9671f8b392fff4f772d0a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=240c37a2&x-expires=1764057600&x-signature=UdbawhOOfC57I245C3N6U0G2vc4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","daniel.belianto","Gimana kondisi coretax saat ini di perangkat Anda❓YAY or NAY ❓

Masukkan dicomment…

#pajak #tax #coretax #update #web ","648","332","46200","105","331","37","original sound - daniel.belianto","daniel.belianto","true","2025-10-20T05:58:57.000Z","https://www.tiktok.com/@daniel.belianto/video/7563179410837294354"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7327036652537741314~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=6f39e98b&x-expires=1764057600&x-signature=DvKfzvifGDknkBWQAVCh9RZXbOU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","officialinews","Menteri Keuangan Purbaya Yudhi Sadewa buka-bukaan soal permasalahan platform pelaporan pajak Coretax yang banyak dikeluhkan warga RI. Ternyata, kualitas programnya buruk bahkan selevel anak SMA. Permasalahan soal Coretax membuat Purbaya merekrut staf ahli di bidang teknologi untuk mencari permasalahan dan memperbaiki platform Coretax.

Namun, tim ahli belum bisa merombak secara penuh karena Kemenkeu masih terikat kontrak dengan perusahaan dari Korsel sebagai developer. Diketahui Proyek bernilai tender triliunan rupiah ini dikerjakan konsorsium LG CNS-Qualysoft.

Baca selengkapnya hanya di
https://www.inews.id/news

#iNews #Menkeu #PurbayaYudhiSadewa #Purbaya #Coretax #Korea","225100","4957","4500000","1890","7874","132","suara asli - OfficialiNews","OfficialiNews","true","2025-10-26T06:32:44.000Z","https://www.tiktok.com/@officialinews/video/7565414629749427477"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91035c6bc1b9671f8b392fff4f772d0a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=240c37a2&x-expires=1764057600&x-signature=UdbawhOOfC57I245C3N6U0G2vc4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","daniel.belianto","You’ll Never Walk Alone…semoga cepat sembuh…

#pajak #tax #coretax #error #fakturpajak","398","111","16900","71","90","64","original sound - daniel.belianto","daniel.belianto","true","2025-10-16T01:43:54.000Z","https://www.tiktok.com/@daniel.belianto/video/7561629335489219852"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/02fc45d5f3ae3f7055d8c1d44fa3f913~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=02f80e39&x-expires=1764057600&x-signature=SSmPbvWHb4EZllb4as%2FBPZPA06o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","rawwwrrr1306","Tutorial agar tidak lelet tanpa gangguan apa oun saat menggunakan coretax!! Finally nemuuu cara make coretax biar gak delay 🥰 #coretax #coretax2025 #fyp #pajak #lucu_ngakak #fyppppppppppppppppppppppp ","1217","202","39600","196","153","53","suara asli - Rawwwrrr","Rawwwrrr","true","2025-02-11T08:26:27.000Z","https://www.tiktok.com/@rawwwrrr1306/video/7470075031976971525"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/154c3116d7a482cc700ee0d99c27819b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=4a892729&x-expires=1764057600&x-signature=whcy9NHbnOFSJ%2FNvNQrUZntQjV4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","feliciajovani","Hadapi dengan senyuman kita bersama! ☺️ #pajak #perpajakan #pajakindonesia #coretax #corporatelife #tax #akuntansicheck #fyp ","29600","3710","805400","717","4675","15","เสียงต้นฉบับ - หนุ่มจีน","หนุ่มจีน","true","2024-11-20T23:35:28.000Z","https://www.tiktok.com/@feliciajovani/video/7439509212717206839"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3f5a0de2356758984cf6ad784366ecf6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=2f9dc033&x-expires=1764057600&x-signature=d40WFzArhfKPDSoSlwzyvxlrMtI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","winawdyn","Siapa yg masih input manual kaya aku?🫵🏻😭

#finance #coretax #accountreceivable ","3129","185","104500","646","341","13","Bila Memang Kamu","Betrand Putra Onsu","false","2025-01-16T05:44:53.000Z","https://www.tiktok.com/@winawdyn/video/7460385191937264904"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2497d4f2a5251f2d0404f1185dcf936e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=35063c53&x-expires=1764057600&x-signature=iLQXXFcttWivgqFiG5vNemiAQU4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","winnews_","Kenapa Purbaya bilang programmer yang bikin Coretax cuma selevel lulusan SMA? 😭 Apakah sistem milik Coretax sejelek itu? Lantas emang apa aja sih permasalahan yang dihadapi oleh sistem inti perpajakan nasional ini? 🤔","53000","1266","653700","345","2199","89","original sound - WinNews","WinNews","true","2025-10-28T14:01:34.000Z","https://www.tiktok.com/@winnews_/video/7566272475412057352"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/face49f172734eeef7f19cd37bd17be0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=8cca00a6&x-expires=1764057600&x-signature=86jHXMN35jMf1x1iUnJRTsyOQPo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","faktoraindonesia","Sri Mulyani diduga terlibat kasus korupsi APK CORETAX","318","31","5022","61","26","65","suara asli - FAKTORA INDONESIA","FAKTORA INDONESIA","true","2025-10-30T04:57:04.000Z","https://www.tiktok.com/@faktoraindonesia/video/7566874316088823048"
